datetime,pilEAUte-Primary settling tank influent-FIT_100-Flowrate (Liquid),pilEAUte-Pilote influent-FIT_110-Flowrate (Liquid),pilEAUte-Copilote influent-FIT_120-Flowrate (Liquid),pilEAUte-Primary settling tank effluent-Ammo_005-NH4_N,pilEAUte-Primary settling tank effluent-Ammo_005-K,pilEAUte-Primary settling tank effluent-Ammo_005-Temperature,pilEAUte-Primary settling tank effluent-Ammo_005-pH,pilEAUte-Primary settling tank effluent-Spectro_010-TSS,pilEAUte-Primary settling tank effluent-Spectro_010-COD,pilEAUte-Primary settling tank effluent-Spectro_010-CODf,pilEAUte-Primary settling tank effluent-Spectro_010-NO3_N,pilEAUte-Pilote effluent-Varion_002-NH4_N,pilEAUte-Pilote effluent-Varion_002-NO3_N,pilEAUte-copilote effluent-Varion_001-NH4_N,pilEAUte-copilote effluent-Varion_001-NO3_N,pilEAUte-Pilote reactor 5-FIT_430-Flowrate (Gas),pilEAUte-copilote reactor 5-FIT_460-Flowrate (Gas),pilEAUte-Pilote reactor 4-AIT_241-DO,pilEAUte-copilote reactor 4-AIT_341-DO,pilEAUte-Pilote reactor 5-AIT_250-TSS,pilEAUte-copilote reactor 5-AIT_350-TSS,pilEAUte-Pilote sludge recycle-AIT_260-TSS,pilEAUte-Copilote sludge recycle-AIT_360-TSS,pilEAUte-Pilote effluent-TurbR200-Turbidity,pilEAUte-copilote effluent-TurbR300-Turbidity
2020-03-04 09:18:00,,,,18.79,6.5,10.5,7.26,0.054778999999999994,0.272952,0.062372,0.0,0.0008914570212364196,0.011632100105285644,0.003492919921875,0.005732120037078858,,,,,,,,,,0.004342049825936556
2020-03-04 09:18:27,0.00030562506781684027,0.00013843748304578993,0.00013895829518636069,,,,,,,,,,,,,0.0,0.0029499979654947915,0.0005292205810546875,0.0005005073547363282,3.45407421875,3.60653125,8.52785546875,7.117392578125,,
2020-03-04 09:19:00,,,,18.57,6.4,10.5,7.26,0.054657,0.26878199999999997,0.074906,0.0,0.0008865169882774353,0.011638299942016601,0.0034752600193023683,0.005730959892272949,,,,,,,,,,0.004383060149848461
2020-03-04 09:19:27,0.000306093692779541,0.00013911459181043838,0.00013880213101704914,,,,,,,,,,,,,0.0,0.002933331298828125,0.00026911354064941404,0.0004760112762451172,3.419537109375,3.6084619140625,8.7578984375,8.18366796875,,
2020-03-04 09:20:00,,,,18.31,6.3,10.4,7.27,0.054976000000000004,0.26962,0.063521,0.0,0.0008840450048446655,0.011674200057983398,0.0034554800987243654,0.005746359825134277,,,,,,,,,,0.0042949398048222065
2020-03-04 09:20:27,0.00030562506781684027,0.00013875007629394532,0.00013880213101704914,,,,,,,,,,,,,0.0,0.00425,0.00016145515441894531,0.0005492057800292969,3.527341796875,3.61580078125,8.34391015625,7.297703125,,
2020-03-04 09:21:00,,,,18.23,6.2,10.4,7.28,0.059128,0.27169299999999996,0.062227,0.0,0.0008791530132293701,0.011709699630737305,0.0034643099308013917,0.0057132701873779295,,,,,,,,,,0.004404949955642223
2020-03-04 09:21:27,0.00030536466174655493,0.00013864583439297148,0.00013859377966986763,,,,,,,,,,,,,0.0,0.003,0.000125335693359375,0.0005723724365234375,3.541484375,3.5678896484375,8.2952734375,7.2955234375,,
2020-03-04 09:22:00,,,,18.14,6.2,10.4,7.29,0.051325,0.269995,0.06842699999999999,0.0,0.0008767399787902832,0.011713000297546386,0.0034282500743865966,0.005744979858398437,,,,,,,,,,0.004388419911265373
2020-03-04 09:22:27,0.00030614587995741105,0.00013880213101704914,0.000138854185740153,,,,,,,,,,,,,0.0,0.00425,9.752273559570313e-05,0.0004990863800048829,3.5051875,3.6084970703125,8.2782421875,7.00347265625,,
